County,School Name,School Address,City,School Grades,num_cases,affecting_who,date
Wayne,University Liggett School,1045 Cook Rd,Grosse Pointe Woods,Pre-school - elementary,2,Students,2020-09-28
Wayne,University Liggett School,1045 Cook Rd,Grosse Pointe Woods,High school,3,Students,2021-03-08
Detroit City,University of Detroit Jesuit High School,8400 N Cambridge Ave,Detroit City,High school,2,Students,2021-03-22
Detroit City,University of Detroit Jesuit Highschool and Academy,8400 N Cambridge Ave,Detroit City,High school,14,Students,2021-02-08
Detroit City,University of Detroit Jesuit Highschool and Academy,8400 N Cambridge Ave,Detroit,High school,2,Students,2021-03-01
Detroit City,University of Detroit Jesuit Highschool and Academy,8400 N Cambridge Ave,Detroit City,High school,3,Students,2021-03-22
Macomb,Utica High School,47255 Shelby road,Shelby Township,High school,2,Students,2020-09-21
Calhoun,Valley View Elementary,960 Avenue A,Springfield,Pre-school - elementary,3,Both,2021-04-05
Oakland,Van Hoosen Middle School,1339 Adams Rd,Rochester Hills,Junior high/middle school,7,Students,2021-03-22
Oakland,Van Hoosen Middle School,1339 Adams Rd,Rochester Hills,Junior high/middle school,2,Students,2021-03-22
Montcalm,Vestaburg Comm Schools,7188 Ave B,Vestaburg,Administrative,2,Staff,2020-11-16
Van Buren,Volinia Outcomes,54080 Gards Prairie Road,Decatur,High school,2,Students,2020-10-19
Kent,Walker Charter Academy,1801 3 Mile Rd NW,Walker,Junior high/middle school,7,Students,2020-10-19
Oceana,Walkerville Elementary School,170 North St,Walkerville,Pre-school - elementary,4,Both,2021-04-05
Oceana,Walkerville Public Schools,145 E. Lathrop St.,Walkerville,Pre-school - elementary,4,Both,2020-10-05
Oakland,Walled Lake Central/Waterford Mott Combined Varsity Hockey,1600 Oakley Park Rd,Commerce Charter Township,High school,4,Both,2021-04-05
Oakland,Walled Lake Western,600 Beck Rd,Commerce Charter Township,High school,2,Students,2021-03-29
Macomb,Walt Disney Elementary School,36155 Kelly Rd,Clinton Township,Pre-school - elementary,2,Staff,2020-11-16
Macomb,Warren Woods Middle School,13400 Twelve Mile Rd,Warren,Junior high/middle school,3,Staff,2020-11-09
Macomb,Warren Woods Middle School,13400 Twelve Mile Rd,Warren,Junior high/middle school,2,Both,2020-12-21
Macomb,Warren Woods Middle School,13400 Twelve Mile Rd,Warren,Junior high/middle school,2,Students,2021-04-05
Macomb,Warren Woods Towers High School,27900 Bunert Rd,Warren,High school,4,Students,2020-11-23
Macomb,Warren Woods Towers High School,27900 Bunert Rd,Warren,High school,2,Students,2021-03-29
Oakland,Waterford Mott Highschool,1151 Scott Lake Rd,Waterford Twp,High school,3,Students,2021-04-05
Berrien,Watervliet high school,450 E St. Joseph St,Saint Joseph,High school,4,Students,2021-03-29
Eaton,Waverly High School,,Lansing,High school,2,Students,2021-03-01
Allegan,Wayland Union High School,870 E Superior St,Wayland,High school,2,Students,2020-11-23
Allegan,Wayland Union High School,870 E Superior St,Wayland,High school,11,Students,2021-03-15
Allegan,Wayland Union Middle School,701 Wildcat,Wayland,Junior high/middle school,4,Students,2020-11-23
Detroit City,Wayne State University,42 W Warren Ave,Detroit City,Administrative,2,Staff,2021-03-22
Ingham,Webberville High School,309 E Grand River Rd,Webberville,High school,5,Students,2021-03-15
Ingham,Webberville School,309 E Grand River Ave,Webberville,High school,2,Students,2020-09-28
Delta,Webster Kindergarten Center,1213 N 19th St,Escanaba,Pre-school - elementary,5,Both,2020-09-28
Delta,Webster Kindergarten Center,1213 North 19th Street,Escanaba,Pre-school - elementary,3,Both,2020-11-16
Saginaw,Weiss Elementary,4645 Weiss Street,Saginaw,Pre-school - elementary,8,Both,2020-11-09
Ottawa,West Elementary,500 W 24th St,Holland,Pre-school - elementary,2,Students,2021-02-08
Iron,West Iron County,700 Washington Ave,Iron River,Pre-school - elementary,8,Both,2020-11-23
Barry,West Learning Center,555 W Woodlawn,Hastings,Pre-school - elementary,3,Staff,2021-03-29
Ottawa,West Ottawa High School,3685 Butternut Dr,Holland,High school,2,Students,2020-09-21
Ottawa,West Ottawa High School,3685 Butternut Dr,Holland,High school,2,Students,2020-11-09
Ottawa,West Ottawa High School,3685 Butternut Dr,Holland,High school,2,Students,2021-01-25
Ottawa,West Ottawa High School,3685 Butternut Dr,Holland,High school,2,Students,2021-03-15
Mason,West Shore ESD,2130 US-10,Ludington,Administrative,2,Staff,2020-12-21
Kent,West Side Christian School,955 Westend Ave NW,Grand Rapids,Pre-school - elementary,6,Students,2020-11-30
Jackson,Western High School,1400 S. Dearing Rd.,Parma,High school,3,Students,2021-03-08
Wayne,Western International High School,1500 Scotten Street,Detroit,High school,2,Staff,2020-11-02
Jackson,Western Middle School,1400 S. Dearing Rd,Parma,Junior high/middle school,2,Students,2020-10-26
Jackson,Western Middle School,1400 S. Dearing Rd.,Jackson,Junior high/middle school,2,Students,2021-03-29
Jackson,Western Middle School,1400 S. Dearing Rd.,Jackson,Junior high/middle school,2,Students,2021-04-05
Calhoun,Westlake Elementary,1184 S 24th St,Battle Creek,Pre-school - elementary,3,Both,2021-02-15
Lapeer,Weston Elementary,275 Weston Street,Imlay City,Pre-school - elementary,5,Both,2020-12-21
Lapeer,Weston Elementary,275 Weston Street,Imlay City,Pre-school - elementary,2,Both,2021-03-29
Lapeer,Weston Elementary School,275 Weston St,Imlay City,Pre-school - elementary,3,Staff,2020-11-09
Ionia,Westwood Elementary School,883 Cross St,Portland,Pre-school - elementary,2,Students,2020-11-02
Marquette,Westwood High School,300 S Westwood Dr,Ishpeming,High school,2,Students,2020-11-16
Wexford/Missaukee,Wexford-Missaukee ISD Career Tech Center,9901 E 13th St,Cadillac,Administrative,3,Both,2021-01-25
Eaton,Weymouth Elementary School,346 State St.,Charlotte,Pre-school - elementary,3,Staff,2021-01-11
Ottawa,White Pines Middle School,1400 S Griffin St,Grand Haven,Junior high/middle school,2,Students,2021-02-01
Ottawa,White Pines Middle School,1400 S Griffin St,Grand Haven,Junior high/middle school,2,Students,2021-04-05
Washtenaw,Whitmore Lake Elementary School,1077 Barker Rd.,Whitmore Lake,Pre-school - elementary,2,Students,2021-03-15
Washtenaw,Whitmore Lake High School,7430 Whitmore Lake Rd.,Whitmore lake,High school,2,Students,2021-03-15
Oakland,Wixom Elementary,301 N Wixom Rd,Wixom,Pre-school - elementary,4,Both,2020-12-28
Tuscola,Wolverine Human Services-Saginaw,2424 N Outer Dr,Saginaw,High school,2,Staff,2020-09-21
Ottawa,Woodbridge Elementary,9110 Woodbridge Street,Zeeland,Pre-school - elementary,4,Both,2020-11-23
Ottawa,Woodbridge Elementary,9110 Woodbridge Street,Zeeland,Pre-school - elementary,2,Both,2021-01-18
Calhoun,Woodlawn Preschool,1175 W Territorial Rd,Battle Creek,Pre-school - elementary,2,Students,2021-01-25
Genesee,World of Wonder/Ellen Street Campus,404 W Ellen St,Fenton,Pre-school - elementary,4,Staff,2020-11-02
Kent,Wyoming High School,1350 Prairie Pkwy SW,Wyoming,High school,3,Both,2020-10-12
St. Clair,Yale High School,247 School Dr,Yale,High school,3,Students,2021-03-15
Ottawa,Young Adult Services,605 Elliot Avenue,Grand Haven,High school,5,Both,2020-11-23
Ottawa,Zeeland Christian School,334 W Central Ave,Zeeland,Junior high/middle school,2,Both,2020-11-16
Ottawa,Zeeland East High School,3333 96th Ave,Zeeland,High school,2,Students,2021-02-01
Ottawa,Zeeland West High School,3390 100th Ave,Zeeland,High school,2,Students,2020-10-26
Ottawa,Zeeland West High School,3390 100th Ave,Zeeland,High school,7,Students,2021-04-05
Lapeer,Zemmer,1920 W Oregon St,Lapeer,Junior high/middle school,4,Both,2020-11-02
Kent,Zinser Elementary School,1234 Kinney Ave NW,Grand Rapids,Pre-school - elementary,6,Both,2020-11-16
Bay,Zion Lutheran,,,,2,,2020-11-30
