school,county
ROLLING HILLS ELEMENTARY,ORANGE
SOUTH ORLANDO CHRISTIAN ACADEMY,ORANGE
UCP EAST ORANGE PRIVATE ACADEMY,ORANGE
VICTORY ACADEMY,ORANGE
WEST OAKS ACADEMY,ORANGE
WILLIAM S MAXEY ELEMENTARY,ORANGE
CREATION KIDS VILLAGE,OSCEOLA
LINCOLN-MARTI CHARTER SCHOOLS (OSCEOLA CAMPUS),OSCEOLA
BELLE GLADE CHRISTIAN ACADEMY,PALM BEACH
"GLADES ACADEMY, INC",PALM BEACH
HAVERHILL BAPTIST DAY SCHOOL,PALM BEACH
HOPE-CENTENNIAL ELEMENTARY SCHOOL,PALM BEACH
KATZ YESHIVA HIGH SCHOOL,PALM BEACH
NEW GENERATION MONTESSORI OF DELRAY BEACH,PALM BEACH
SAINT JULIANA,PALM BEACH
SOMERSET ACADEMY CANYONS HIGH SCHOOL,PALM BEACH
BISHOP MCLAUGHLIN CATHOLIC HIGH SCHOOL,PASCO
COVENANT CHRISTIAN ACADEMY,PASCO
JOHN LONG MIDDLE SCHOOL,PASCO
CENTER ACADEMY-PINELLAS PARK,PINELLAS
DELPHI ACADEMY OF FLORIDA,PINELLAS
ACADEMY PREP CENTER OF LAKELAND,POLK
KATHLEEN MIDDLE SCHOOL,POLK
LAKE GIBSON MIDDLE SCHOOL,POLK
LIGHTHOUSE CHRISTIAN LEARNING CENTER,POLK
OSCAR J. POPE ELEMENTARY SCHOOL,POLK
RIDGE CHRISTIAN ACADEMY,POLK
PRE-K DEVELOPMENT CENTER,SANTA ROSA
VICTORY BAPTIST ACADEMY,SARASOTA
HAMILTON ELEMENTARY SCHOOL,SEMINOLE
BLIND HIGH SCHOOL,ST. JOHNS
DEAF HIGH SCHOOL,ST. JOHNS
DEAF MIDDLE SCHOOL,ST. JOHNS
ST. JOHNS DISTRICT OFFICE,ST. JOHNS
VERITAS CLASSICAL PRIVATE SCHOOL INC,ST. JOHNS
FAITH UNITED SCHOOL OF EXCELLENCE,ST. LUCIE
LIBERTY BAPTIST ACADEMY,ST. LUCIE
ST. ANDREW'S EPISCOPAL ACADEMY,ST. LUCIE
ST. LUCIE DISTRICT OFFICE,ST. LUCIE
3451 EDGEWOOD ROAD,UNKNOWN
ACADEMY SILVER PALMS,UNKNOWN
ACHIEVE CENTER AT RICHEY,UNKNOWN
BENGAMLA,UNKNOWN
CHILD ACADEMY,UNKNOWN
CHILDREN OF WOODBINE PRESCHOOL,UNKNOWN
CITRUS ELEMANTRY SCHOOL,UNKNOWN
CRYSTAL ACADEMY PRIVATE SCHOOL,UNKNOWN
DADE - LA PROGRESIVA PRESBYTERIAN SCHOOL INC.,UNKNOWN
DADE - RABBI ALEXANDER S. GROSS HEBREW ACADEMY,UNKNOWN
DADE - REDLAND CHRISTIAN ACADEMY INC.,UNKNOWN
DADE - THE CARRIE BRAZER CENTER FOR AUTISM INC.,UNKNOWN
DADE - TOPS CHRISTIAN ACADEMY,UNKNOWN
DECLINED,UNKNOWN
FT MCCOY,UNKNOWN
GREATER LITTLE ROCK PRESCHOOL BAPTIST CHURCH,UNKNOWN
IMATTER ACADEMY,UNKNOWN
ISCHS,UNKNOWN
KEENE'S CROSSING ELEMENTARY SCHOOL,UNKNOWN
KEY POINT PRESCHOOLS OF CORAL GABLES,UNKNOWN
KINDERGARTEN,UNKNOWN
LOW STONE ACADEMY,UNKNOWN
LOYOLA SCHOOL PRESCHOOL & ELEMENTARY,UNKNOWN
MCBS BUS AND TRANSPORTATION DEPARTMENT,UNKNOWN
MCSB TRANSPORTATION AND PARTS,UNKNOWN
MIAMI DADE COUNTY SCHOOLS,UNKNOWN
LEON - FLORIDA A&M UNIVERSITY DEVELOPMENTAL RESEARCH,UNKNOWN
"MONTESSORI ACADEMY OF SOUTH TAMPA, LLC",UNKNOWN
OAK LEAF HIGH SCHOOL,UNKNOWN
OAK PARK,UNKNOWN
OUR LADY OF THE LAKES,UNKNOWN
PASCO COUNTY SCH,UNKNOWN
PINECREST SCHOOL,UNKNOWN
PRIDE ACADEMY,UNKNOWN
PRIVATE MEDICAL CARE - RENAISSANCE,UNKNOWN
RENAISSANCE CHARTER SCHOOL AT TAPESTRY,UNKNOWN
SAINT,UNKNOWN
SCHOOL ADMINISTRTAION - DID NOT WANT TO IDENTIFY,UNKNOWN
ST JAMES CATHOLIC SCHOOL,UNKNOWN
ST JOHN BUS DRIVER,UNKNOWN
ST THERESA CATHOLIC SCHOOL,UNKNOWN
ST. ANDREW CATHOLIC SCHOOL,UNKNOWN
STRAWBERRY CREST HIGH SCHOOL,UNKNOWN
SUMMERSET ACADEMY - SILVER PALMS SACH,UNKNOWN
TEACHER,UNKNOWN
TEMPLE BETHEL,UNKNOWN
THE ACTON ACADEMY,UNKNOWN
WINAHOVOLD,UNKNOWN
WINHOLD MONTESSORI SCHOOL,UNKNOWN
WINTHROP CHARTER,UNKNOWN
DISCOVERY DAYS INSTITUTE OF LEARNING,VOLUSIA
OSTEEN ELEMENTARY SCHOOL,VOLUSIA
TIMBERCREST ELEMENTARY SCHOOL,VOLUSIA
NORTH FLORIDA TECHNICAL COLLEGE,BRADFORD
HCI COLLEGE-FORT LAUDERDALE,BROWARD
JERSEY COLLEGE NURSING SCHOOL-FORT LAUDERDALE,BROWARD
NOVA SE UNIVERSITY,BROWARD
NOVA UNIVERSITY SCHOOL,BROWARD
FORTIS COLLEGE-ORANGE PARK,CLAY
ACUPUNCTURE MASSAGE COLLEGE,MIAMI-DADE
BABSON COLLEGE-MIAMI,MIAMI-DADE
DR. MICHAEL M. KROP SENIOR HIGH (MIAMI),MIAMI-DADE
HIALEAH GARDENS SENIOR HIGH SCHOOL (HIALEAH GARDEN),MIAMI-DADE
MIAMI ARTS STUDIO 6-12 AT ZELDA GLAZER (MIAMI),MIAMI-DADE
SOUTHEASTERN COLLEGE-MIAMI LAKES,MIAMI-DADE
UNIVERSITY OF WEST FLORIDA,ESCAMBIA
ATA CAREER EDUCATION-FLORIDA,HERNANDO
PAUL MITCHELL THE SCHOOL-FORT MYERS,LEE
SOUTHERN TECHNICAL COLLEGE,LEE
RASMUSSEN COLLEGE-OCALA SCHOOL OF NURSING,MARION
NOVA SOUTHEASTERN UNIVERSITY-ORLANDO,ORANGE
SOUTHERN TECHNICAL COLLEGE ORLANDO,ORANGE
VALENCIA COLLEGE-POINCIANA,OSCEOLA
NOVA SOUTHEASTERN UNIVERSITY-PALM BEACH GARDENS,PALM BEACH
FIELDS OF DREAMS SPORTS ACADEMY,PASCO
NATIONAL AVIATION ACADEMY-TAMPA BAY,PINELLAS
SCHOOL OF EMS,PINELLAS
AVIATION INSTITUTE OF MAINTENANCE,SEMINOLE
RIVER VALLEY TECHNICAL INSTITUTE,SUWANNEE
1500 BISCAYNE BLVD,UNKNOWN
42 NORTH,UNKNOWN
ALCO POINCIANA,UNKNOWN
BENEVA LAKE HEALTHCARE,UNKNOWN
CAPE CORAL TECHNICAL COLLEGE,UNKNOWN
CONCORDIA UNIVERSITY,UNKNOWN
DEANE BOZEMAN SCHOOL,UNKNOWN
ERNEST WARD MIDDLE,UNKNOWN
FLORIDA STATE UNIVERSITY TALLAHASEE,UNKNOWN
GALEN COLLEGE OF NURSING,UNKNOWN
GAMMA PHI BETA,UNKNOWN
HEALTH CENTER COMPLEX FIU CLINIC,UNKNOWN
HORIZON CHARTER SCHOOL OF TAMPA,UNKNOWN
ISTITUTO MARANGONI,UNKNOWN
KEZIN BEAUTY ACADEMY,UNKNOWN
NORTH FLORIDA SCHOOL OF EDUCATION,UNKNOWN
PENSACOLA CHRISTIAN COLLEGE,UNKNOWN
SAN IGNACIO COLLEGE,UNKNOWN
SCHOOL DISTRICT OF MANATEE COUNTY,UNKNOWN
SOMERSET ACADEMY CHARTER HIGH SCHOOL,UNKNOWN
UCF,UNKNOWN
USF BOOOKSTORE,UNKNOWN
INTERNATIONAL ACADEMY OF HAIR DESIGN,VOLUSIA
ABIDING SAVIOR LUTHERAN PRESCHOOL,ALACHUA
MILLHOPPER MONTESSORI SCHOOL,ALACHUA
PACE,ALACHUA
BREAD OF LIFE CHRISTIAN ACADEMY CORP.,BREVARD
FLORIDA PREPARATORY ACADEMY - MELBOURNE,BREVARD
GREAT LEAPS ACADEMY,BREVARD
PINEWOOD ELEMENTARY SCHOOL,BREVARD
BETHLEHEM JUNIOR ACADEMY,BROWARD
LAUDERDALE MANORS EARLY LEARNING AND FAMILY RESOU,BROWARD
RHEMA WORD CHRISTIAN ACADEMY,BROWARD
SOUTH FLORIDA JEWISH ACADEMY,BROWARD
ST. BERNADETTE CATHOLIC SCHOOL,BROWARD
UNKNOWN,BROWARD
CHARLOTTE DISTRICT OFFICE,CHARLOTTE
ST. PAUL'S LUTHERAN SCHOOL,CITRUS
PINECREST ELEMENTARY SCHOOL,COLLIER
SPARK HYBRID EDUCATION CENTER,COLLIER
FIRST ACADEMY,COLUMBIA
ACE ACADEMY SCHOOL,MIAMI-DADE
BEIS-CHANA HIGH SCHOOL,MIAMI-DADE
BRENTWOOD ELEMENTARY SCHOOL,MIAMI-DADE
BRITO MIAMI PRIVATE SCHOOL,MIAMI-DADE
DR. EDWARD L. WHIGHAM ELEMENTARY SCHOOL,MIAMI-DADE
FREDERICK R. DOUGLASS ELEMENTARY,MIAMI-DADE
HIBISCUS ELEMENTARY SCHOOL,MIAMI-DADE
HOMESTEAD MIDDLE SCHOOL,MIAMI-DADE
HOPE ACADEMY,MIAMI-DADE
KIDDY ACADEMY 2,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 01,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 27-8,MIAMI-DADE
MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY,MIAMI-DADE
MY FIRST STEP LEARNING,MIAMI-DADE
NORTH DADE REGIONAL ACADEMY,MIAMI-DADE
OUR LADY OF LOURDES PARISH SCHOOL,MIAMI-DADE
PETER PAN LEARNING CENTER INC,MIAMI-DADE
SAINT PATRICK SCHOOL,MIAMI-DADE
THINKING CHILD CHRISTIAN ACADEMY SCHOOL,MIAMI-DADE
TRINITY CHRISTIAN ACADEMY H.S.,MIAMI-DADE
TUTOR ME DAY CARE AND LEARNING CORP.,MIAMI-DADE
DUVAL CHARTER SCHOOL AT WESTSIDE,DUVAL
HEART TO HEART CHRISTIAN ACADEMY AND CHILDC,DUVAL
RESURRECTION CATHOLIC SCHOOL,DUVAL
RIVER CITY SCIENCE ACADEMY INNOVATION SCHOOL,DUVAL
MONTCLAIR ELEMENTARY SCHOOL,ESCAMBIA
R. C. LIPSCOMB ELEMENTARY SCHOOL,ESCAMBIA
SUCCESS ACADEMY,ESCAMBIA
WEST PENSACOLA ELEMENTARY SCHOOL,ESCAMBIA
DOROTHY THOMAS CENTER,HILLSBOROUGH
GRACE CHRISTIAN SCHOOL,HILLSBOROUGH
LLT SOUTHBAY,HILLSBOROUGH
ODESSA CHRISTIAN SCHOOL,HILLSBOROUGH
PATRICIA SULLIVAN METROPOLITAN MINISTRIES PARTNERSH,HILLSBOROUGH
THE COLLABORATORY PREPARATORY ACADEMY,HILLSBOROUGH
TINKER K-8 SCHOOL,HILLSBOROUGH
UNIVERSAL ACADEMY OF FLORIDA,HILLSBOROUGH
INDIAN RIVER DISTRICT OFFICE,INDIAN RIVER
SUNCOAST PRIMARY SCHOOL,INDIAN RIVER
SAINT ANDREW CATHOLIC,LEE
FAMU LAB SCH DISTRICT OFFICE,LEON
UNITY CHILD CARE DEVELOPMENT LLC,LEON
KIDS R KIDS #4 FL,MANATEE
PARRISH CHARTER ACADEMY,MANATEE
GRACE CHRISTIAN ACADEMY,MARION
MARION OAKS ELEMENTARY,MARION
OKALOOSA COUNTY SCHOOL DISTRICT,OKALOOSA
BETHANY LEARNING ACADEMY,ORANGE
CAMEN ACADEMY FOR THE PERFORMING ARTS,ORANGE
CENTRAL FLORIDA POLYTECHNIC ACADEMY,ORANGE
FAITH ACADEMY,ORANGE
GENERATION OF HOPE ACADEMY INC.,ORANGE
LIGHT CHRISTIAN ACADEMY AND CHILDCARE,ORANGE
MAITLAND MONTESSORI SCHOOL,ORANGE
PATHWAYS SCHOOL,ORANGE
PINECREST PREPARATORY CHARTER,ORANGE
RIDGEWOOD PARK ELEMENTARY,ORANGE
MATER BRIGHTON LAKES,OSCEOLA
PLEASANT HILL ACADEMY,OSCEOLA
ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,PALM BEACH
DIVINE SAVIOR ACADEMY - DELRAY,PALM BEACH
LAKE PARK ELEMENTARY SCHOOL,PALM BEACH
LINCOLN ELEMENTARY SCHOOL,PALM BEACH
PALM BEACH LAKES HIGH ADULT EDUCATION,PALM BEACH
PALM BEACH PUBLIC ELEMENTARY SCHOOL,PALM BEACH
RIVIERA BEACH PREPARATORY & ACHIEVEMENT ACADEMY,PALM BEACH
ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,PASCO
EAST PASCO ADVENTIST ACADEMY,PASCO
LEARNING LODGE ACADEMY,PASCO
BARDMOOR YMCA PRESCHOOL ACADEMY,PINELLAS
SOLID ROCK COMMUNITY SCHOOL,PINELLAS
ST. RAPHAEL CATHOLIC SCHOOL,PINELLAS
THE BROACH SCHOOL,PINELLAS
THE MOVEMENT SCHOOL,PINELLAS
WOODLAWN COMMUNITY ACADEMY,PINELLAS
A'KELYNN'S ANGELS CHRISTIAN ACADEMY,POLK
DORIS A. SANDERS LEARNING CENTER,POLK
GRACE LUTHERAN SCHOOL,POLK
JANIE HOWARD WILSON SCHOOL,POLK
PARK AVENUE PRIVATE SCHOOL,POLK
SPOOK HILL ELEMENTARY SCHOOL,POLK
ST. PAUL UNITED METHODIST SCHOOL,SANTA ROSA
SUNCOAST SCHOOL FOR INNOVATIVE STUDIES,SARASOTA
LAKE ORIENTA ELEMENTARY SCHOOL,SEMINOLE
ORANGEWOOD CHRISTIAN SCHOOL K-6,SEMINOLE
ST. MARY MAGDALEN CATHOLIC SCHOOL,SEMINOLE
BLIND PK-8 SCHOOL,ST. JOHNS
1ST ACADEMY OF LEESBURG,UNKNOWN
ALLEN NEASE HIGH SCHOOL,UNKNOWN
AUTISM SCHOOL FOR LEARNING,UNKNOWN
CHILDREN PARADISE,UNKNOWN
CORAL GABLES PREPARATORY ACADEMY,UNKNOWN
DADE - KENDALL CHRISTIAN,UNKNOWN
DADE - KINGDOM ACADEMY III,UNKNOWN
DADE - MIAMI CHRISTIAN,UNKNOWN
DADE - OUR LADY OF THE HOLY ROSARY-ST RICHARD CATHOLIC,UNKNOWN
DADE - SOUTH FLORIDA SCHOOL OF EXCELLENCE,UNKNOWN
DEER PARK ELM.,UNKNOWN
DON GIUNTA MIDDLE SCHOOOL,UNKNOWN
DORAL ACADEMY PREP,UNKNOWN
DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL,UNKNOWN
DUVAL COUNTY PUBLIC SCHOOLS - KERNAN MIDDLE SCHOOL,UNKNOWN
DUVAL COUNTY SCHOOL BOARD,UNKNOWN
EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CE,UNKNOWN
EPIPHANY CATHOLIC,UNKNOWN
ESCAMBIA - LIGHTHOUSE PRIVATE CHRISTIAN ACADEMY PRE,UNKNOWN
ESCAMBIA COUNTY SCHOOL DISTRICT,UNKNOWN
FIRST CLASS LEARNING CENTER AT SHILOH CHURCH,UNKNOWN
FLORIDA ATLANTIC UNIVERSITY - IT DEPARTMENT,UNKNOWN
FLORIDA SCHOOL FOR THE DEAF AND BLIND,UNKNOWN
FOREST HIGH SCHOOL,UNKNOWN
FORT KING MIDDLE SCHOOL,UNKNOWN
GLADES ELEM.,UNKNOWN
GLENDALE ELEMENTARY,UNKNOWN
HCSB,UNKNOWN
HIALEAH ELEMENTARY SCHOOL,UNKNOWN
HILLSBOROUGH ACADEMY OF MATH AND SCIENCE,UNKNOWN
"HOLY FAMILY NAME CATHOLIC SCHOOL, MUSIC TEACHER",UNKNOWN
HOMESTEAD HIGH SCHOOL,UNKNOWN
JANE S ROBERTS K-8 CENTER,UNKNOWN
JANITORIAL,UNKNOWN
JCC PRE-SCHOOL,UNKNOWN
LAKE COUNTY SCHOOL DISTRICT,UNKNOWN
LAKE PANASOFFKEE ELEMENTARY SCHOOL,UNKNOWN
LITERACY LEADERSHIP TECHNOLOGY,UNKNOWN
MAST ACADEMY,UNKNOWN
MESIVTA YESHIVA ELEMENTARY,UNKNOWN
MIAMI DADE PUBLIC SCHOOL,UNKNOWN
MIAMI DADE PUBLIC SCHOOLS - BUS DRIVER,UNKNOWN
MIAMI-DADE - RIVERSIDE ELEMENTARY COMMUNITY SCHOOL,UNKNOWN
MIAMI-DADE COUNTY PUBLIC SCHOOL,UNKNOWN
MORGAN FIITZGERALD MIDDLE SCHOOL,UNKNOWN
NA,UNKNOWN
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOO,UNKNOWN
NORTHSIDE CHRISTIAN SCHOOL,UNKNOWN
ORANGE COUNTY PUBLIC SCHOOLS.,UNKNOWN
PALM BEACH GARDENS ELEMANRTY SCHOOL,UNKNOWN
PALM BEACH PUBLIC SCHOOL,UNKNOWN
PASCO COUNTY SCHOOL DISTRICT,UNKNOWN
PAUL LAWRENCE DUNBAR SCHOOL,UNKNOWN
PIERCE ACADEMY,UNKNOWN
PINE CREST ELEMENTARY SCHOOL.,UNKNOWN
PINE FORREST HIGH SCHOOL,UNKNOWN
POINT OF GRACE CHRISTIAN SCHOOL,UNKNOWN
RENNISANCE CHARTER SCHOOL,UNKNOWN
RIVERDALE LEARNING ACADEMY,UNKNOWN
SAINT JOHNS ACADEMY,UNKNOWN
SAME: CORK ELEMENTARY SCHOOL,UNKNOWN
SCHOOL FOR AUTISM,UNKNOWN
SOMERSET CITY ARTS CONSERVATORY,UNKNOWN
SORA NEIL SCHOOL,UNKNOWN
ST AUGUSTINE HIGH SCHOOL,UNKNOWN
ST LAWRENCE CATHOLIC,UNKNOWN
ST PAUL CATHOLIC SCHOOL,UNKNOWN
ST PAUL PRESCHOOL,UNKNOWN
ST THERESA SCHOOL,UNKNOWN
ST. JOHN CATHOLIC SCHOOL,UNKNOWN
ST. PAUL METHODIST SCHOOL,UNKNOWN
SYMMES ELEMENTARY SCHOOL,UNKNOWN
T R JACKSON PRESCHOOL,UNKNOWN
TATE HIGH SCHOOL,UNKNOWN
TEACHER - CL OVERTURE,UNKNOWN
THE DEPARTMENT OF TRANSPORTATION,UNKNOWN
THE LEARNING EXPERIENCE - CORAL SPRINGS,UNKNOWN
THE VILLAGES EARLY CHILDHOOD CENTER,UNKNOWN
WEST HOMESTEAD ELEMENTARY SCHOOL,UNKNOWN
WILLIAM J BRYAN ELEMENTARY,UNKNOWN
AMIKIDS VOLUSIA,VOLUSIA
ORANGE CITY ELEMENTARY SCHOOL,VOLUSIA
ORMOND BEACH ELEMENTARY SCHOOL,VOLUSIA
TEMPLE BETH-EL SCHOOL,VOLUSIA
WALTON LEARNING CENTER,WALTON
BROWARD COLLEGE-JUDSON A. SAMUELS SOUTH,BROWARD
CHAMBERLAIN UNIVERISY-MIRAMAR,BROWARD
FLAGLER COLLEGE-TALLAHASSEE,LEON
FLORIDA TECHNICAL COLLEGE-KISSIMMEE,OSCEOLA
HCI COLLEGE-WEST PALM BEACH,PALM BEACH
UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES-ST. AUGUSTINE,ST. JOHNS
CONCHITA ESPINOZA ACADEMY,UNKNOWN
CRISDA CHRISTIAN ACADEMY,UNKNOWN
DAYTONA STATE COLLEGE,UNKNOWN
FERNANEINA BEACH MIDDLE SCHOOL,UNKNOWN
FIRST ACADEMY LEESBURG,UNKNOWN
GALEN SCHOOL OF NURSING,UNKNOWN
GEORGE MIDDLETON HIGH SCHOOL,UNKNOWN
HIS HOUSE,UNKNOWN
HOPE-CENTENNIAL ELEMENTARY SCHOOL,UNKNOWN
INDIAN RIVER STATE COLLEGE,UNKNOWN
LECOM SCHOOL OF DENTISTRY,UNKNOWN
MANATEE TECHNICAL COLLEGE,UNKNOWN
MCFATTER TECHNICAL COLLEGE,UNKNOWN
MIAMI DADE COLLEGE-NORTH,UNKNOWN
MIAMI DADE SCHOOL SYSTEM EUZENIA THOMAS K-8 CENTER,UNKNOWN
MIDDLEBURG ELEMENTARY SCHOOL,UNKNOWN
PALMER COLLEGE OF CHIROPRACTIC,UNKNOWN
PINELLAS TECHNICAL COLLEGE,UNKNOWN
POLYTECHNIC UNIVERSITY OF PUERTO RICO,UNKNOWN
SAINT PETERSBURG COLLEGE,UNKNOWN
SCHOOL,UNKNOWN
SEBASTIAN HALL-AVE MARIA UNIVERSITY,UNKNOWN
SOUTHERN TECHNICAL COLLEGE ORLANDO,UNKNOWN
SOUTHSHORE CHARTER ACADEMY,UNKNOWN
SPANISH RIVER CHRISTIAN,UNKNOWN
SWINKRIDGE CARE CENTER,UNKNOWN
THE ARC OF SOUTH FLORIDA,UNKNOWN
TRUE NORTH CLASSICAL ACADEMY INC,UNKNOWN
TULANE UNIVERSITY,UNKNOWN
UNIVERSITY OF NORTH WESTERN OHIO,UNKNOWN
WEVIKA,UNKNOWN
P. K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,ALACHUA
COVENANT CHRISTIAN SCHOOL,BAY
HUTCHISON BEACH ELEMENTARY SCHOOL,BAY
RISING LEADERS ACADEMY,BAY
EL SINAI CHRISTIAN ACADEMY,BREVARD
HOLY NAME OF JESUS CATHOLIC SCHOOL,BREVARD
LIFELINE ACADEMY,BREVARD
RIVERDALE COUNTRY DAY SCHOOL,BREVARD
ALL SAINTS CATHOLIC SCHOOL,BROWARD
DAVE THOMAS EDUCATION CENTER WEST,BROWARD
DAVIE PROFESSIONAL DEVELOPMENT CENTER,BROWARD
EXCELSIOR CHARTER OF BROWARD,BROWARD
HALLANDALE HOUSE OF LEARNING,BROWARD
PEMBROKE PINES CHARTER ELEMENTARY SCHOOL - WEST C,BROWARD
PEMBROKE PINES CHARTER MIDDLE SCHOOL - WEST CAMPU,BROWARD
PINES LAKES ELEMENTARY SCHOOL,BROWARD
RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY,BROWARD
SHERIDAN TECHNICAL HIGH SCHOOL,BROWARD
SUNED HIGH OF SOUTH BROWARD,BROWARD
SUNSHINE STATE ACADEMY,BROWARD
THE PEMBROKE PINES FLORIDA,BROWARD
WESTLAKE PREPARATORY SCHOOL AND ACADEMY,BROWARD
PACE CENTER FOR GIRLS,CITRUS
WEST COAST CHRISTIAN SCHOOL,CITRUS
ANNUNCIATION CATHOLIC SCHOOL,CLAY
PACE CENTER FOR GIRLS CLAY,CLAY
PINEWOOD CHRISTIAN ACADEMY,CLAY
SWIMMING PEN CREEK ELEMENTARY SCHOOL,CLAY
HERBERT CAMBRIDGE ELEMENTARY,COLLIER
LAVERN GAYNOR ELEMENTARY,COLLIER
SABAL PALM ELEMENTARY SCHOOL,COLLIER
FIVE POINTS ELEMENTARY,COLUMBIA
"ALEXANDER SCHOOL, INC. 1ST CAMPUS",MIAMI-DADE
ALPHA CHARTER OF EXCELLENCE,MIAMI-DADE
AMAZING LEARNING ACADEMY II,MIAMI-DADE
AMERICAN ACADEMY OF PINECREST,MIAMI-DADE
ANDOVER MIDDLE SCHOOL,MIAMI-DADE
AVANT SCHOOL OF EXCELLENCE,MIAMI-DADE
BETH MOSHE EARLY CHILDHOOD CENTER,MIAMI-DADE
BOLA CHILDCARE LEARNING CENTER,MIAMI-DADE
CHILDREN'S PARADISE LEARNING CENTER INC 4,MIAMI-DADE
CHILDREN'S PLACE LEARNING CENTER,MIAMI-DADE
COMSTOCK ELEMENTARY SCHOOL,MIAMI-DADE
CORAL GABLES SENIOR HIGH ADULT EDUCATION,MIAMI-DADE
DISCOVER MONTESSORI ACADEMY,MIAMI-DADE
EARLY CHILDHOOD CENTER,MIAMI-DADE
FISHER ISLAND DAY SCHOOL,MIAMI-DADE
FULFORD ELEMENTARY SCHOOL,MIAMI-DADE
GOULDS ELEMENTARY SCHOOL,MIAMI-DADE
HOLMES ELEMENTARY SCHOOL,MIAMI-DADE
J.C. BERMUDEZ DORAL SENIOR HIGH,MIAMI-DADE
JOSE MARTI SCHOOL 1ST CAMPUS,MIAMI-DADE
KIPP SUNRISE ACADEMY,MIAMI-DADE
LINCOLN-MARTI CHARTER SCHOOL HIALEAH CAMPUS,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 34,MIAMI-DADE
LITTLE ANGELS CHRISTIAN SCHOOL DAYCARE,MIAMI-DADE
LITTLE PROMISES DAYCARELEARNING CENTER,MIAMI-DADE
MATER INTERNATIONAL ACADEMY,MIAMI-DADE
NATHAN B. YOUNG ELEMENTARY SCHOOL,MIAMI-DADE
REDLAND CHRISTIAN ACADEMY INC.,MIAMI-DADE
REM LEARNING CENTER SOUTH,MIAMI-DADE
SAINT JOHN THE APOSTLE SCHOOL,MIAMI-DADE
SCHOOL FOR ADVANCED STUDIES - SOUTH,MIAMI-DADE
SOMERSET PALMS ACADEMY,MIAMI-DADE
SOUTH DADE TECHNICAL COLLEGE,MIAMI-DADE
SPORTS LEADERSHIP OF MIAMI CHARTER HIGH SCHOOL,MIAMI-DADE
TRU PREP ACADEMY,MIAMI-DADE
TUTOR ME DAYCARE ACADEMY,MIAMI-DADE
UNIVERCITY EARLY LEARNING CENTER,MIAMI-DADE
VILLAGE PINES SCHOOL,MIAMI-DADE
YOTZER OHR INC.,MIAMI-DADE
CARTER G. WOODSON ELEMENTARY SCHOOL,DUVAL
HENRY F. KITE ELEMENTARY SCHOOL,DUVAL
KIPP VOICE,DUVAL
NORTH FLA EDUCATIONAL INSTITUTE,DUVAL
ORTEGA ELEMENTARY SCHOOL,DUVAL
SAN MATEO ELEMENTARY SCHOOL,DUVAL
SEASIDE COMMUNITY CHARTER SCHOOL,DUVAL
TIGER ACADEMY,DUVAL
BRENTWOOD ELEMENTARY SCHOOL,ESCAMBIA
IMAGE SCHOOL AT TOWNE CENTER,FLAGLER
GADSDEN DISTRICT OFFICE,GADSDEN
HLC LEADERSHIP ACADEMY,GADSDEN
RCMA-BOOKER T. WASHINGTON,GLADES
HERNANDO DISTRICT OFFICE,HERNANDO
RIDGE MANOR CHRISTIAN ACADEMY,HERNANDO
FIRST DISCOVERIES ACADEMY,HILLSBOROUGH
HUNTER'S GREEN ELEMENTARY SCHOOL,HILLSBOROUGH
SPRINGHEAD ELEMENTARY SCHOOL,HILLSBOROUGH
INDIAN RIVER CHARTER HS,INDIAN RIVER
INTEGRITY CHRISTIAN ACADEMY,LAKE
LIVING WORD CHRISTIAN SCHOOL,LEE
MONTESSORI SCHOOL OF FT. MYERS,LEE
PACE SCHOOL FOR GIRLS,LEE
CORNERSTONE LEARNING COMMUNITY,LEON
FAITH PRESBYTERIAN CHURCH PRESCHOOL,LEON
HERITAGE TRAILS COMMUNITY SCHOOL,LEON
G D ROGERS GARDEN- BULLOCK ELEMENTARY,MANATEE
IDA M. STEWART ELEMENTARY SCHOOL,MANATEE
FIRST ASSEMBLY CHRISTIAN SCHOOL DAYCARE,MARION
OCALA CENTER FOR SUCCESS AND INDEPENDENCE,MARION
OCALA CHRISTIAN ACADEMY,MARION
ST PAUL'S CHRISTIAN PRESCHOOL,MARION
THE CORNERSTONE SCHOOL,MARION
WILLOUGHBY LEARNING CENTER,MARTIN
CRESTVIEW YOUTH ACADEMY,OKALOOSA
LAKEWOOD CHRISTIAN SCHOOL,OKALOOSA
BROOKSHIRE ELEMENTARY,ORANGE
CENTRAL FLORIDA PREPARATORY SCHOOL,ORANGE
CHEROKEE,ORANGE
ELITE PREPARATORY ACADEMY,ORANGE
